Title,Link,Published,Summary,Training_summary
"Checked-in bag tampered with, flyer loses Rs 1 lakh, 78-yr-old pen at Mumbai airport",https://timesofindia.indiatimes.com/city/mumbai/checked-in-bag-tampered-with-flyer-loses-rs-1l-rs-5k-pen/articleshow/106743380.cms,"Fri, 12 Jan 2024 06:20:00 +0530",,"Checked-in bag tampered with, flyer loses Rs 1 lakh, 78-yr-old pen at Mumbai airport 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
Can't tolerate fight for son's custody anymore: B'luru CEO's note,https://timesofindia.indiatimes.com/city/goa/cops-note-points-to-custody-battle-as-bengaluru-startup-ceos-murder-motive/articleshow/106740355.cms,"Fri, 12 Jan 2024 02:02:32 +0530",,"Can't tolerate fight for son's custody anymore: B'luru CEO's note 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
"Sensex surges 900pts, Nifty above 21.9k - why bulls are partying",https://timesofindia.indiatimes.com/business/india-business/stock-market-today-bse-sensex-nifty50-january-12-2024-dalal-street-bombay-stock-exchange/articleshow/106749625.cms,"Fri, 12 Jan 2024 10:54:51 +0530","Stock market today: Indian benchmark indices, Sensex and Nifty, witnessed a sharp rise on Friday following the impressive December quarter results of IT giants TCS and Infosys. Despite concerns over weak global markets and higher-than-expected US inflation data, investor sentiment remained unaffected.","Sensex surges 900pts, Nifty above 21.9k - why bulls are partying 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
'MS Dhoni has given me two-three...': Shivam Dube,https://timesofindia.indiatimes.com/sports/cricket/news/ms-dhoni-has-given-me-two-three-shivam-dube-explains-the-secret-behind-his-transformation/articleshow/106760843.cms,"Fri, 12 Jan 2024 14:52:24 +0530","Shivam Dube marked his impactful comeback to the Indian cricket team, delivering a commanding performance with a match-winning 60 off 40 balls against Afghanistan in the initial T20I. Dube attributed the positive shift in his attitude and approach to the iconic MS Dhoni. His impressive fifty played a pivotal role in India's comfortable six-wicket victory on Thursday, ultimately earning Dube the well-deserved Player of the Match award. Dube also found shades of Dhoni in the way Rohit Sharma captained the side, and allowed him the space to perform.","'MS Dhoni has given me two-three...': Shivam Dube 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
US FCC wants Indian govt to keep an eye on these Chinese apps,https://timesofindia.indiatimes.com/gadgets-news/us-government-wants-indian-government-to-keep-an-eye-on-these-chinese-apps/articleshow/106757111.cms,"Fri, 12 Jan 2024 13:39:53 +0530","India's proactive approach to data security and its ban on apps like TikTok, praised by Brendan Carr of the US Federal Communications Commission (FCC), should serve as a model for other countries. Carr urges India to closely scrutinize BabyBus, a Chinese app developer known for data privacy concerns.","US FCC wants Indian govt to keep an eye on these Chinese apps 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
Engineering dropout held for burglaries in Hyd’s IT corridor,https://timesofindia.indiatimes.com/city/hyderabad/engg-dropout-held-for-20-burglaries-in-it-corridor/articleshow/106744954.cms,"Fri, 12 Jan 2024 08:19:22 +0530","A 29-year-old engineering dropout from Andhra Pradesh was arrested for committing 20 burglaries in Hyderabad's IT corridor. B Abhilash confessed to posing as a delivery executive to enter apartment complexes and stealing gold and silver ornaments. Police recovered 26 tola gold, 300 grams of silver, and two motorbikes worth 16 lakh from him.","Engineering dropout held for burglaries in Hyd’s IT corridor 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
Momo-seller stabs man over extra red sauce in Delhi market,https://timesofindia.indiatimes.com/city/delhi/fast-food-seller-stabs-man-over-extra-sauce-in-delhis-farsh-bazar/articleshow/106743235.cms,"Fri, 12 Jan 2024 05:59:53 +0530","A 32-year-old man was stabbed multiple times on the face in northeast Delhi after an altercation with a momo-seller over demanding extra red sauce. The victim, who works at a private firm, received 10 stitches. The accused has been arrested.","Momo-seller stabs man over extra red sauce in Delhi market 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
"Will banks open on Jan 13, Makar Sankranti & Pongal?",https://timesofindia.indiatimes.com/business/india-business/will-banks-open-on-january-13-makar-sankranti-and-pongal-check-state-wise-bank-holidays-here/articleshow/106761863.cms,"Fri, 12 Jan 2024 15:10:32 +0530","In January 2024, Indian banks will observe a total of 16 bank holidays, including the second and fourth Saturdays, Sundays, and regional holidays.","Will banks open on Jan 13, Makar Sankranti & Pongal? 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
ChatGPT maker Sam Altman ties the knot in secret ceremony: See pics,https://timesofindia.indiatimes.com/gadgets-news/photo-openais-ceo-sam-altman-ties-the-knot-in-secret-seaside-ceremony/articleshow/106754033.cms,"Fri, 12 Jan 2024 12:26:30 +0530",,"ChatGPT maker Sam Altman ties the knot in secret ceremony: See pics 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
India conducts flight-test of new-generation AKASH missile,https://timesofindia.indiatimes.com/india/india-successfully-conducts-flight-test-of-new-generation-akash-missile/articleshow/106758659.cms,"Fri, 12 Jan 2024 14:01:06 +0530","India successfully conducted a flight test of the new generation AKASH missile at the Integrated Test Range in Chandipur, Odisha. The missile intercepted and destroyed a high-speed unmanned aerial target flying at a very low altitude. The test validated the functioning of the entire weapon system, including the indigenously developed Radio Frequency Seeker, Launcher, Multi-Function Radar, and Command, Control &amp; Communication system. The AKASH-NG system is capable of intercepting high-speed, agile aerial threats, and the successful test has paved the way for user trials.","India conducts flight-test of new-generation AKASH missile 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
